=== 고용보험 전체 재수집 리포트 (2026-05-14 23:02) ===


[EC 재수집] 수정:1608건, 동일:6건, 오류:1건
[EC 재수집] 전체 인원 합계: 2,935,260 → 1,680,811 (-1,254,449명)

[5% 이상 변화 기업 목록] (1605건):
  팬오션(028670): 1,688 → 372 (-1,316명, 78.0%)
  경창산업(024910): 2,637 → 1,325 (-1,312명, 49.8%)
  안랩(053800): 2,578 → 1,289 (-1,289명, 50.0%)
  서흥(008490): 2,532 → 1,265 (-1,267명, 50.0%)
  롯데손해보험(000400): 5,738 → 4,479 (-1,259명, 21.9%)
  신성이엔지(011930): 2,464 → 1,206 (-1,258명, 51.1%)
  세방전지(004490): 2,497 → 1,249 (-1,248명, 50.0%)
  이수페타시스(007660): 2,503 → 1,295 (-1,208명, 48.3%)
  한국단자공업(025540): 2,395 → 1,197 (-1,198명, 50.0%)
  크레버스(096240): 2,384 → 1,195 (-1,189명, 49.9%)
  모베이스전자(012860): 2,313 → 1,140 (-1,173명, 50.7%)
  국보디자인(066620): 2,086 → 926 (-1,160명, 55.6%)
  삼호개발(010960): 1,393 → 248 (-1,145명, 82.2%)
  일진전기(103590): 2,381 → 1,236 (-1,145명, 48.1%)
  KG스틸(016380): 2,288 → 1,144 (-1,144명, 50.0%)
  이글루코퍼레이션(067920): 2,260 → 1,146 (-1,114명, 49.3%)
  신세계인터내셔날(031430): 2,223 → 1,112 (-1,111명, 50.0%)
  에스에프에이(056190): 2,211 → 1,105 (-1,106명, 50.0%)
  한미글로벌건축사사무소(053690): 2,214 → 1,110 (-1,104명, 49.9%)
  진흥기업(002780): 3,866 → 2,763 (-1,103명, 28.5%)
  디에이피(066900): 2,228 → 1,125 (-1,103명, 49.5%)
  JW중외제약(001060): 2,182 → 1,088 (-1,094명, 50.1%)
  키움증권(039490): 2,181 → 1,087 (-1,094명, 50.2%)
  대동(000490): 2,096 → 1,018 (-1,078명, 51.4%)
  아이티센엔텍(010280): 2,159 → 1,092 (-1,067명, 49.4%)
  우진아이엔에스(010400): 1,321 → 254 (-1,067명, 80.8%)
  비상교육(100220): 2,122 → 1,056 (-1,066명, 50.2%)
  한화투자증권(003530): 2,119 → 1,057 (-1,062명, 50.1%)
  광동제약(009290): 2,130 → 1,068 (-1,062명, 49.9%)
  LG헬로비전(037560): 2,114 → 1,054 (-1,060명, 50.1%)
  HS애드(035000): 2,088 → 1,046 (-1,042명, 49.9%)
  현대홈쇼핑(057050): 5,434 → 4,398 (-1,036명, 19.1%)
  케이엔솔(053080): 1,371 → 336 (-1,035명, 75.5%)
  흥국화재해상보험(000540): 4,410 → 3,378 (-1,032명, 23.4%)
  TYM(002900): 2,093 → 1,061 (-1,032명, 49.3%)
  HS화성(002460): 2,545 → 1,515 (-1,030명, 40.5%)
  카페24(042000): 2,030 → 1,015 (-1,015명, 50.0%)
  포스코엠텍(009520): 2,039 → 1,027 (-1,012명, 49.6%)
  셀트리온제약(068760): 1,975 → 989 (-986명, 49.9%)
  한독(002390): 1,963 → 982 (-981명, 50.0%)
  DB(012030): 2,030 → 1,051 (-979명, 48.2%)
  일진파워(094820): 1,872 → 896 (-976명, 52.1%)
  환인제약(016580): 1,841 → 866 (-975명, 53.0%)
  교보증권(030610): 1,936 → 961 (-975명, 50.4%)
  아이센스(099190): 1,965 → 990 (-975명, 49.6%)
  롯데정밀화학(004000): 1,974 → 1,006 (-968명, 49.0%)
  웅진(016880): 2,421 → 1,471 (-950명, 39.2%)
  네오위즈(095660): 1,879 → 943 (-936명, 49.8%)
  원익홀딩스(030530): 1,371 → 447 (-924명, 67.4%)
  LF(093050): 1,849 → 925 (-924명, 50.0%)
  한국유나이티드제약(033270): 1,847 → 925 (-922명, 49.9%)
  현대리바트(079430): 1,812 → 896 (-916명, 50.6%)
  멀티캠퍼스(067280): 1,828 → 914 (-914명, 50.0%)
  동양생명보험(082640): 2,762 → 1,848 (-914명, 33.1%)
  해태제과식품(101530): 2,091 → 1,180 (-911명, 43.6%)
  동방(004140): 3,998 → 3,089 (-909명, 22.7%)
  일성건설(013360): 2,715 → 1,810 (-905명, 33.3%)
  삼화페인트공업(000390): 1,784 → 880 (-904명, 50.7%)
  서한(011370): 2,706 → 1,804 (-902명, 33.3%)
  고려신용정보(049720): 1,783 → 883 (-900명, 50.5%)
  덴티움(145720): 1,800 → 901 (-899명, 49.9%)
  현대차증권(001500): 1,770 → 885 (-885명, 50.0%)
  디와이덕양(024900): 1,752 → 873 (-879명, 50.2%)
  티에스이(131290): 1,742 → 877 (-865명, 49.7%)
  롯데쇼핑(023530): 4,228 → 3,364 (-864명, 20.4%)
  핸즈코퍼레이션(143210): 1,738 → 874 (-864명, 49.7%)
  한국카본(017960): 1,242 → 381 (-861명, 69.3%)
  한화엔진 주식회사(082740): 1,725 → 865 (-860명, 49.9%)
  대한유화(006650): 1,703 → 848 (-855명, 50.2%)
  화신(010690): 1,111 → 258 (-853명, 76.8%)
  삼천리(004690): 1,711 → 861 (-850명, 49.7%)
  HJ중공업(097230): 1,838 → 989 (-849명, 46.2%)
  SBS(034120): 1,689 → 841 (-848명, 50.2%)
  유니셈(036200): 2,054 → 1,208 (-846명, 41.2%)
  에프에스티(036810): 1,690 → 845 (-845명, 50.0%)
  까뮤이앤씨(013700): 1,096 → 254 (-842명, 76.8%)
  신원종합개발(017000): 1,733 → 892 (-841명, 48.5%)
  씨젠(096530): 1,676 → 843 (-833명, 49.7%)
  동화약품(000020): 1,657 → 828 (-829명, 50.0%)
  SK증권(001510): 1,636 → 810 (-826명, 50.5%)
  코오롱인더스트리(120110): 1,461 → 641 (-820명, 56.1%)
  평화산업(090080): 1,635 → 817 (-818명, 50.0%)
  신원(009270): 1,643 → 826 (-817명, 49.7%)
  삼진제약(005500): 1,314 → 500 (-814명, 61.9%)
  DB증권(016610): 1,626 → 813 (-813명, 50.0%)
  티에이치엔(019180): 1,624 → 816 (-808명, 49.8%)
  두산테스나(131970): 1,603 → 800 (-803명, 50.1%)
  한국제지(027970): 1,616 → 815 (-801명, 49.6%)
  노루페인트(090350): 1,482 → 682 (-800명, 54.0%)
  지씨셀(144510): 1,601 → 803 (-798명, 49.8%)
  아주스틸(139990): 1,644 → 847 (-797명, 48.5%)
  남광토건(001260): 2,478 → 1,685 (-793명, 32.0%)
  미래에셋생명보험(085620): 1,575 → 784 (-791명, 50.2%)
  유진투자증권(001200): 1,569 → 784 (-785명, 50.0%)
  NICE평가정보(030190): 2,334 → 1,556 (-778명, 33.3%)
  SOOP(067160): 1,551 → 774 (-777명, 50.1%)
  신풍제약(019170): 1,547 → 771 (-776명, 50.2%)
  KSS해운(044450): 868 → 93 (-775명, 89.3%)
  동국제약(086450): 1,536 → 768 (-768명, 50.0%)
  지엠비코리아(013870): 1,842 → 1,075 (-767명, 41.6%)
  메디톡스(086900): 1,534 → 768 (-766명, 49.9%)
  원익QnC(074600): 1,240 → 475 (-765명, 61.7%)
  미원상사(002840): 1,525 → 762 (-763명, 50.0%)
  하나마이크론(067310): 1,596 → 833 (-763명, 47.8%)
  에스엠엔터테인먼트(041510): 1,519 → 757 (-762명, 50.2%)
  한국내화(010040): 1,521 → 766 (-755명, 49.6%)
  광전자(017900): 1,498 → 743 (-755명, 50.4%)
  다우기술(023590): 1,551 → 796 (-755명, 48.7%)
  KT&G(033780): 1,442 → 687 (-755명, 52.4%)
  세종텔레콤(036630): 1,151 → 396 (-755명, 65.6%)
  비에이치아이(083650): 1,433 → 680 (-753명, 52.5%)
  동원산업(006040): 1,279 → 527 (-752명, 58.8%)
  YTN(040300): 1,494 → 745 (-749명, 50.1%)
  한성크린텍(066980): 982 → 243 (-739명, 75.3%)
  GST(083450): 1,473 → 736 (-737명, 50.0%)
  한미반도체(042700): 1,462 → 731 (-731명, 50.0%)
  롯데관광개발(032350): 1,461 → 735 (-726명, 49.7%)
  휴비스(079980): 1,447 → 724 (-723명, 50.0%)
  POSCO홀딩스(005490): 1,410 → 693 (-717명, 50.9%)
  한솔아이원스(114810): 1,435 → 718 (-717명, 50.0%)
  계양전기(012200): 1,411 → 695 (-716명, 50.7%)
  아진산업(013310): 1,384 → 677 (-707명, 51.1%)
  파라텍(033540): 1,395 → 693 (-702명, 50.3%)
  인터로조(119610): 1,383 → 694 (-689명, 49.8%)
  동화기업(025900): 1,337 → 659 (-678명, 50.7%)
  현대퓨처넷(126560): 1,276 → 600 (-676명, 53.0%)
  SK가스(018670): 1,328 → 656 (-672명, 50.6%)
  일양약품(007570): 1,343 → 672 (-671명, 50.0%)
  피에이치에이(043370): 1,343 → 672 (-671명, 50.0%)
  신영증권(001720): 1,314 → 648 (-666명, 50.7%)
  삼화콘덴서공업(001820): 1,311 → 646 (-665명, 50.7%)
  리노공업(058470): 1,310 → 650 (-660명, 50.4%)
  강남제비스코(000860): 1,271 → 629 (-642명, 50.5%)
  에스디바이오센서(137310): 1,277 → 637 (-640명, 50.1%)
  AJ네트웍스(095570): 1,287 → 651 (-636명, 49.4%)
  동성화인텍(033500): 1,271 → 637 (-634명, 49.9%)
  이오테크닉스(039030): 1,267 → 634 (-633명, 50.0%)
  다스코(058730): 1,150 → 518 (-632명, 55.0%)
  현대에버다임(041440): 1,153 → 522 (-631명, 54.7%)
  켐트로닉스(089010): 1,248 → 617 (-631명, 50.6%)
  영진약품(003520): 990 → 363 (-627명, 63.3%)
  이화공영(001840): 1,271 → 645 (-626명, 49.3%)
  삼익THK(004380): 884 → 258 (-626명, 70.8%)
  상신브레이크(041650): 1,213 → 588 (-625명, 51.5%)
  제우스(079370): 1,249 → 624 (-625명, 50.0%)
  유니크(011320): 1,242 → 619 (-623명, 50.2%)
  부광약품(003000): 1,237 → 616 (-621명, 50.2%)
  에코플라스틱(038110): 1,236 → 616 (-620명, 50.2%)
  휴젤(145020): 1,503 → 883 (-620명, 41.3%)
  유비케어(032620): 922 → 303 (-619명, 67.1%)
  송원산업(004430): 1,224 → 611 (-613명, 50.1%)
  SJG세종(033530): 1,219 → 607 (-612명, 50.2%)
  휴스틸(005010): 1,210 → 605 (-605명, 50.0%)
  에스엘(005850): 1,213 → 608 (-605명, 49.9%)
  롯데에너지머티리얼즈(020150): 1,188 → 583 (-605명, 50.9%)
  모두투어네트워크(080160): 1,201 → 596 (-605명, 50.4%)
  삼일제약(000520): 958 → 355 (-603명, 62.9%)
